"","Year","No_speciemen"
"1",1872,5
"2",1873,1
"3",1874,1
"4",1875,0
"5",1876,1
"6",1877,0
"7",1878,0
"8",1879,0
"9",1880,1
"10",1881,0
"11",1882,0
"12",1883,0
"13",1884,0
"14",1885,0
"15",1886,0
"16",1887,1
"17",1888,0
"18",1889,1
"19",1890,0
"20",1891,0
"21",1892,0
"22",1893,2
"23",1894,0
"24",1895,0
"25",1896,0
"26",1897,2
"27",1898,0
"28",1899,1
"29",1900,6
"30",1901,1
"31",1902,2
"32",1903,0
"33",1904,0
"34",1905,0
"35",1906,0
"36",1907,3
"37",1908,6
"38",1909,3
"39",1910,1
"40",1911,1
"41",1912,0
"42",1913,3
"43",1914,1
"44",1915,4
"45",1916,0
"46",1917,1
"47",1918,2
"48",1919,6
"49",1920,11
"50",1921,10
"51",1922,8
"52",1923,2
"53",1924,2
"54",1925,5
"55",1926,5
"56",1927,2
"57",1928,44
"58",1929,28
"59",1930,11
"60",1931,5
"61",1932,10
"62",1933,4
"63",1934,13
"64",1935,7
"65",1936,15
"66",1937,30
"67",1938,16
"68",1939,29
"69",1940,36
"70",1941,43
"71",1942,25
"72",1943,25
"73",1944,34
"74",1945,59
"75",1946,24
"76",1947,43
"77",1948,29
"78",1949,59
"79",1950,81
"80",1951,58
"81",1952,63
"82",1953,129
"83",1954,83
"84",1955,64
"85",1956,94
"86",1957,88
"87",1958,191
"88",1959,157
"89",1960,43
"90",1961,134
"91",1962,124
"92",1963,200
"93",1964,104
"94",1965,92
"95",1966,101
"96",1967,85
"97",1968,139
"98",1969,136
"99",1970,283
"100",1971,182
"101",1972,218
"102",1973,261
"103",1974,142
"104",1975,253
"105",1976,158
"106",1977,299
"107",1978,125
"108",1979,156
"109",1980,150
"110",1981,158
"111",1982,130
"112",1983,76
"113",1984,131
"114",1985,153
"115",1986,114
"116",1987,171
"117",1988,128
"118",1989,92
"119",1990,80
"120",1991,114
"121",1992,118
"122",1993,143
"123",1994,158
"124",1995,48
"125",1996,78
"126",1997,69
"127",1998,68
"128",1999,78
"129",2000,72
"130",2001,47
"131",2002,37
"132",2003,56
"133",2004,39
"134",2005,35
"135",2006,20
"136",2007,15
